 

stn;time;prestas0
ATT;202406061530;736.7
ATT;202406061540;736.6
ATT;202406061550;736.7
ATT;202406061600;737.0
ATT;202406061610;736.9
ATT;202406061620;737.0
ATT;202406061630;737.0
ATT;202406061640;737.1
ATT;202406061650;737.1
ATT;202406061700;737.0
ATT;202406061710;736.8
ATT;202406061720;737.0
ATT;202406061730;737.0
ATT;202406061740;736.8
ATT;202406061750;736.7
ATT;202406061800;736.8
ATT;202406061810;736.8
ATT;202406061820;736.9
ATT;202406061830;736.6
ATT;202406061840;736.5
ATT;202406061850;736.3
ATT;202406061900;736.2
ATT;202406061910;736.3
ATT;202406061920;736.4
ATT;202406061930;736.4
ATT;202406061940;736.5
ATT;202406061950;736.6
ATT;202406062000;736.8
ATT;202406062010;737.1
ATT;202406062020;736.9
ATT;202406062030;737.3
ATT;202406062040;737.2
ATT;202406062050;736.9
ATT;202406062100;736.9
ATT;202406062110;736.8
ATT;202406062120;736.7
ATT;202406062130;736.7
ATT;202406062140;736.8
ATT;202406062150;736.6
ATT;202406062200;736.5
ATT;202406062210;736.5
ATT;202406062220;736.7
ATT;202406062230;736.7
ATT;202406062240;736.7
ATT;202406062250;736.7
ATT;202406062300;736.7
ATT;202406062310;736.7
ATT;202406062320;736.7
ATT;202406062330;736.6
ATT;202406062340;736.6
ATT;202406062350;736.6
ATT;202406070000;736.6
ATT;202406070010;736.5
ATT;202406070020;736.6
ATT;202406070030;736.5
ATT;202406070040;736.5
ATT;202406070050;736.5
ATT;202406070100;736.5
ATT;202406070110;736.5
ATT;202406070120;736.5
ATT;202406070130;736.5
ATT;202406070140;736.5
ATT;202406070150;736.4
ATT;202406070200;736.4
ATT;202406070210;736.4
ATT;202406070220;736.4
ATT;202406070230;736.4
ATT;202406070240;736.3
ATT;202406070250;736.2
ATT;202406070300;736.2
ATT;202406070310;736.3
ATT;202406070320;736.3
ATT;202406070330;736.3
ATT;202406070340;736.3
ATT;202406070350;736.3
ATT;202406070400;736.2
ATT;202406070410;736.3
ATT;202406070420;736.3
ATT;202406070430;736.3
ATT;202406070440;736.3
ATT;202406070450;736.2
ATT;202406070500;736.3
ATT;202406070510;736.4
ATT;202406070520;736.4
ATT;202406070530;736.4
ATT;202406070540;736.4
ATT;202406070550;736.5
ATT;202406070600;736.6
ATT;202406070610;736.5
ATT;202406070620;736.6
ATT;202406070630;736.7
ATT;202406070640;736.8
ATT;202406070650;736.9
ATT;202406070700;736.9
ATT;202406070710;737.0
ATT;202406070720;737.0
ATT;202406070730;737.0
ATT;202406070740;737.0
ATT;202406070750;737.0
ATT;202406070800;737.0
ATT;202406070810;737.0
ATT;202406070820;737.1
ATT;202406070830;737.0
ATT;202406070840;737.1
ATT;202406070850;737.2
ATT;202406070900;737.3
ATT;202406070910;737.3
ATT;202406070920;737.4
ATT;202406070930;737.4
ATT;202406070940;737.5
ATT;202406070950;737.5
ATT;202406071000;737.6
ATT;202406071010;737.7
ATT;202406071020;737.7
ATT;202406071030;737.8
ATT;202406071040;737.9
ATT;202406071050;737.9
ATT;202406071100;737.9
ATT;202406071110;737.9
ATT;202406071120;737.9
ATT;202406071130;738.0
ATT;202406071140;738.0
ATT;202406071150;737.9
ATT;202406071200;737.8
ATT;202406071210;737.8
ATT;202406071220;737.8
ATT;202406071230;737.7
ATT;202406071240;737.8
ATT;202406071250;737.7
ATT;202406071300;737.7
ATT;202406071310;737.7
ATT;202406071320;737.6
ATT;202406071330;737.6
ATT;202406071340;737.6
ATT;202406071350;737.5
ATT;202406071400;737.5
ATT;202406071410;737.4
ATT;202406071420;737.5
ATT;202406071430;737.4
ATT;202406071440;737.4
ATT;202406071450;737.4
ATT;202406071500;737.4
ATT;202406071510;737.4
ATT;202406071520;737.3
ATT;202406071530;737.4
ATT;202406071540;737.4
ATT;202406071550;737.3
ATT;202406071600;737.2
ATT;202406071610;737.2
ATT;202406071620;737.2
ATT;202406071630;737.1
ATT;202406071640;737.1
ATT;202406071650;737.1
ATT;202406071700;737.0
ATT;202406071710;737.0
ATT;202406071720;737.0
ATT;202406071730;736.9
ATT;202406071740;736.8
ATT;202406071750;736.9
ATT;202406071800;736.9
ATT;202406071810;736.9
ATT;202406071820;736.7
ATT;202406071830;736.6
ATT;202406071840;736.7
ATT;202406071850;736.8
ATT;202406071900;736.9
ATT;202406071910;736.8
ATT;202406071920;736.8
ATT;202406071930;736.8
ATT;202406071940;736.7
ATT;202406071950;736.6
ATT;202406072000;736.9
ATT;202406072010;737.0
ATT;202406072020;737.0
ATT;202406072030;737.0
ATT;202406072040;737.0
ATT;202406072050;737.1
ATT;202406072100;737.1
ATT;202406072110;737.0
ATT;202406072120;737.0
ATT;202406072130;737.0
ATT;202406072140;737.0
ATT;202406072150;736.9
ATT;202406072200;736.9
ATT;202406072210;736.9
ATT;202406072220;736.9
ATT;202406072230;736.9
ATT;202406072240;736.9
ATT;202406072250;736.8
ATT;202406072300;736.8
ATT;202406072310;736.8
ATT;202406072320;736.7
ATT;202406072330;736.6
ATT;202406072340;736.5
ATT;202406072350;736.3
ATT;202406080000;736.2
ATT;202406080010;736.2
ATT;202406080020;736.1
ATT;202406080030;736.1
ATT;202406080040;736.0
ATT;202406080050;735.9
ATT;202406080100;735.8
ATT;202406080110;735.7
